項次,補助縣市,申請補(捐)助單位,核准日期,活動名稱,活動時間(起),活動時間(迄),活動地點,核准補助金額(千元),核准理由(預期效益),核准補助金額(元)
5032,臺中市龍井區,臺中市龍井區山腳社區發展協會,#####,辦理106年度會員境外文化交流暨節能減碳及推廣潔淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
5033,臺中市龍井區,臺中市龍井區公所,#####,發放急難救助金,#####,#####,龍井區,30,加強地方關係、促進電源開發及節約用電,30000
5065,臺中市龍井區,臺中市龍井區東海社區發展協會,#####,辦理長壽俱樂部健檢保健暨節能減碳宣導活動,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
5075,臺中市龍井區,臺中市龍井區公所,#####,辦理麗水里環保志工第二小隊「隊務檢討會及空汙防治講座既節約用電及推廣潔淨能源政策宣導活動」,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
5078,臺中市龍井區,臺中市龍井區公所,#####,辦理東海里環保志工第十三小隊「環保志工教育觀摩暨節能減碳宣導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
5091,臺中市龍井區,臺中市龍井區公所,#####,辦理龍井民防分隊「文化觀摩暨節約用電安全宣導與推廣乾淨能源至測需導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
5097,臺中市龍井區,臺中市龍井區麗水關懷福利協會,#####,辦理關懷志工戶外觀摩暨節約用電節能減碳宣導活動,#####,#####,南投縣,30,加強地方關係、促進電源開發及節約用電,30000
5102,臺中市龍井區,臺中市龍井區公所,#####,辦理烏日民防中隊犁份民防分隊「106年度重要節日安全維護工作績優隊員表揚及節約用電、節能減碳暨推廣乾淨能源政策宣導活動」,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
5109,臺中市龍井區,臺中市龍井區太極氣功健身會,#####,辦理太極氣功20週年武藝研習暨節約能源宣導活動,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
5115,臺中市龍井區,臺中市龍井區媽祖護佑關懷協會,#####,辦理106年度會員大會暨恭迎丁酉年大甲鎮瀾宮天上聖母進香遶近回鑾暨節能減碳及推廣乾淨能源政策宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
5122,臺中市龍井區,中華民國春林尊親會,#####,辦理106年度會員尊老敬賢公益健康講座暨節能減碳及推廣潔淨能源政策宣導活動,#####,#####,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
5129,臺中市龍井區,台中縣龍井鄉祥安促進協會,#####,辦理106年度運動愛台灣健行暨支持電源開發推廣乾淨能源宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
5136,臺中市龍井區,財團法人台中市私立銀同碧湖陳氏社會福利基金會,#####,辦理106年度敬老、獎學金、成年禮、績優義工表揚暨支持能源開發宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
5144,臺中市龍井區,臺中市龍井區龍東社區發展協會,#####,辦理關懷老人戶外交流暨推廣乾淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
5176,臺中市龍井區,臺中市龍井區山腳社區發展協會,#####,辦理志工與長青境外績優關懷據點參訪與實務交流暨節能減碳及推廣潔淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
5185,臺中市龍井區,臺中市龍井區福田腳社區發展協會,#####,辦理敬老文化觀摩及關懷老人健康養生暨節能減碳及推廣乾淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
